Category,Products / Retailers,Brand,Currys,Argos,Maplins,John Lewis,Amazon,Tesco,Asda
Freesat DTR,Sagemcom DTR94500,Sagemcom,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freesat/sagemcom-dtr-94500-freesat-hd-recorder-21410750-pdt.html,http://www.argos.co.uk/static/Product/partNumber/1091733.htm,,,http://www.amazon.co.uk/DTR94500-500GB-Freesat-Recorder-110917333/dp/B00FLPHEIU/ref=sr_1_13?ie=UTF8&qid=1387878693&sr=8-13&keywords=Freesat+Recorders,http://www.tesco.com/direct/sagemcom-dtr94500-500gb-freesat-dtr/658-9780.prd?pageLevel=&skuId=658-9780,
Freesat DTR,Humax HDR 100S,Humax,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freesat/humax-hdr-1000s-freesat-recorder-1-tb-13406863-pdt.html,,,,,,
Freesat DTR,Sandstrom 500GB,Sandstrom,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freesat/sandstrom-shdfsat12-freesat-hd-recorder-500gb-15557208-pdt.html,,,,http://www.amazon.co.uk/Sandstrom-SHDFSAT12-Freesat-Tuner-Recorder/dp/B00AT50O4S/ref=sr_1_1?ie=UTF8&qid=1387880031&sr=8-1&keywords=Sandstrom+500GB,,
Freesat DTR,Manhattan HDR 320GB,Manhattan,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freesat/manhattan-plaza-hdr-s-freesat-hd-recorder-320-gb-20895500-pdt.html,,,,http://www.amazon.co.uk/Manhattan-HDR-S-Receiver-Built-In-320GB/dp/B009EO8CW6/ref=sr_1_2?ie=UTF8&qid=1387878693&sr=8-2&keywords=Freesat+Recorders,http://www.tesco.com/direct/manhattan-freesathd-recorder-320gb/521-2770.prd?pageLevel=&skuId=521-2770,
Freesat DTR,Bush 320GB,Bush,,http://www.argos.co.uk/static/Product/partNumber/5322769.htm,,,http://www.amazon.co.uk/Bush-Freesat-Digital-Recorder-Player/dp/B0084FJ9X2/ref=sr_1_9?ie=UTF8&qid=1387878693&sr=8-9&keywords=Freesat+Recorders,,
Freesat DTR,Bush 500GB,Bush,,http://www.argos.co.uk/static/Product/partNumber/5323122.htm,,,,,
Freeview+ HD,Sagemcom RTI95-320,Sagemcom,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/sagemcom-rti-95-320-freeview-hd-recorder-320-gb-14134720-pdt.html,,http://www.maplin.co.uk/sagemcom-rti95-freeview-hd-twin-tuner-pvr-320gb-683888,,http://www.amazon.co.uk/Sagemcom-RTI95320-Freeview-Digital-Recorder/dp/B0091EM7MK/ref=sr_1_1?ie=UTF8&qid=1387879556&sr=8-1&keywords=Sagemcom+RTI95-320,,
Freeview+ HD,Sagemcom RTI95-500,Sagemcom,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/sagemcom-rti95-500-freeview-hd-recorder-500-gb-13406864-pdt.html,http://www.argos.co.uk/static/Product/partNumber/5323050.htm,,http://www.johnlewis.com/sagemcom-rti95-500-smart-500gb-freeview-hd-digital-tv-recorder/p765423,http://www.amazon.co.uk/Sagemcom-RTI95500-Freeview-Digital-Recorder/dp/B0091SIDGK/ref=sr_1_1?ie=UTF8&qid=1387879596&sr=8-1&keywords=Sagemcom+RTI95-500,http://www.tesco.com/direct/sagemcom-rti95-500-freeview-hd-digital-tv-recorder-with-500gb-hard-drive/227-2637.prd?pageLevel=&skuId=227-2637,
Freeview+ HD,Philips HDTP8530,Phillips,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/philips-hdtp-8530-freeview-hd-recorder-500-gb-13985229-pdt.html,http://www.argos.co.uk/static/Product/partNumber/5323067.htm,,,http://www.amazon.co.uk/Philips-HDTP8530-Definition-Freeview-Recorder/dp/B0091EM82Y/ref=sr_1_1?ie=UTF8&qid=1387879620&sr=8-1&keywords=Philips+HDTP8530,,
Freeview+ HD,Philips HDTP8540,Phillips,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/philips-hdtp8540-freeview-hd-recorder-1-tb-21410751-pdt.html,,,http://www.johnlewis.com/philips-hdtp-8540-1tb-freeview-hd-digital-tv-recorder/p757552,,,
Freeview+ HD,Humax,Humax,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/humax-hdr-2000t-freeview-hd-recorder-500-gb-21653452-pdt.html,http://www.argos.co.uk/static/Product/partNumber/1144697.htm,,http://www.johnlewis.com/humax-hdr-2000t-smart-500gb-freeview-hd-digital-tv-recorder/p833196,http://www.amazon.co.uk/Humax-HDR-2000T-Freeview-HD-Recorder/dp/B00FPLMRDC/ref=sr_1_5?ie=UTF8&qid=1387879121&sr=8-5&keywords=Freeview+HD+Recorders,,
Freeview+ HD,Logik,Logik,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/logik-l1hstb12-freeview-hd-recorder-1-tb-12448426-pdt.html,,,,,,
Freeview+ HD,Panasonic DMR HWT230EB,Panasonic,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/panasonic-dmr-hwt230eb-freeview-hd-recorder-1-tb-21445530-pdt.html,,,http://www.johnlewis.com/panasonic-dmr-hwt230-smart-1tb-freeview-hd-twin-recorder/p569121,http://www.amazon.co.uk/Panasonic-DMR-HWT230EB-Recorder-Freeview-Tuners/dp/B00BYUGN7O/ref=sr_1_1?ie=UTF8&qid=1387879660&sr=8-1&keywords=Panasonic+DMR+HWT230EB,,
Freeview+ HD,View21 320GB,View21,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/view21-vw107zrh32w-smart-hd-digital-tv-recorder-320-gb-21449768-pdt.html,,,,http://www.amazon.co.uk/Smart-Digital-Recorder-iPhone-Stream/dp/B009E3FS06/ref=sr_1_1?ie=UTF8&qid=1387879698&sr=8-1&keywords=View21,http://www.tesco.com/direct/view-21-smart-hd-digital-tv-set-top-box-recorder-320gb-hard-drive-apple-ipadiphone-stream/449-6458.prd?pageLevel=&skuId=449-6458,"http://direct.asda.com/View21-VW11FVRHD32---digital-multimedia-receiver/000581176,default,pd.html"
Freeview+ HD,Echostar HDT610,Echostar,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/echostar-ultraslim-hdt610-ngbwf-freeview-hd-recorder-500-gb-21312093-pdt.html,,http://www.maplin.co.uk/echostar-hdt610r-freeview-hd-tv-recorder-with-smart-tv-features-500gb-629916,,http://www.amazon.co.uk/EchoStar-Ultra-Freeview-Digital-Recorder/dp/B007ZYL5ZI/ref=sr_1_1?ie=UTF8&qid=1387879758&sr=8-1&keywords=Echostar,http://www.tesco.com/direct/echostar-hdt610r-ultra-slim-networked-freeview-hd-personal-video-recorder/435-5031.prd?pageLevel=&skuId=435-5031,
Freeview+ HD,Goodmans GV102ZRH50,Goodmans,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/goodmans-gv102zrh50-freeview-hd-recorder-500-gb-21427881-pdt.html,,,,http://www.amazon.co.uk/Goodmans-Freeview-Digital-Recorder-500GB/dp/B005FPZLJK/ref=sr_1_1?ie=UTF8&qid=1387879794&sr=8-1&keywords=Goodmans+GV102ZRH50,http://www.tesco.com/direct/goodmans-500gb-freeview-recorder/215-2321.prd?pageLevel=&skuId=215-2321,
Freeview+ HD,Panasonic DMR HWT130EB,Panasonic,http://www.currys.co.uk/gbuk/tv-dvd-blu-ray/digital-tv-services/freeview/panasonic-dmr-hwt130eb-freeview-hd-recorder-500-gb-21445531-pdt.html,http://www.argos.co.uk/static/Product/partNumber/1381498.htm,,http://www.johnlewis.com/panasonic-dmr-hwt130-smart-500gb-freeview-hd-twin-recorder/p569092,http://www.amazon.co.uk/Panasonic-DMR-HWT130EB-Recorder-Freeview-Tuners/dp/B00BYUGN74/ref=sr_1_1?ie=UTF8&qid=1387879070&sr=8-1&keywords=Freeview+HD+Recorders,,
Freeview+ HD,Hitachi  500GB,Hitachi,,http://www.argos.co.uk/static/Product/partNumber/1168305.htm,,,http://www.amazon.co.uk/Hitachi-Freeview-Digital-Recorder-HDR5T01/dp/B00FGO80F2/ref=sr_1_3?ie=UTF8&qid=1387879835&sr=8-3&keywords=Hitachi+500GB,,
Freeview+ HD,Bush 500Gb,Bush,,http://www.argos.co.uk/static/Product/partNumber/1278037.htm,,,,,
Freeview+ HD,Pure Avalon 300R 500GB,Pure Avalon,,,,http://www.johnlewis.com/pure-avalon-300r-connect-smart-500gb-wi-fi-freeview-hd-digital-tv-recorder/p231756729,http://www.amazon.co.uk/Pure-Connect-Freeview-Digital-Recorder/dp/B0094GF3CQ/ref=sr_1_1?ie=UTF8&qid=1387879917&sr=8-1&keywords=Pure+Avalon+300R+500GB,,
